Platform,Pop,Num_Cells,Sim_Threshold,Precision,Recall,F1
CyTOF,Bcell,54813,41,0.905314433,0.944498373,0.924491393
CyTOF,CD4T,11517,53,0.903533906,0.967010501,0.93419517
CyTOF,CD8T,8126,48,0.857125277,0.950334288,0.901326432
CyTOF,DC1,663,69,0.819004525,0.915682968,0.864649682
CyTOF,DC2,2026,72,0.831688055,0.869453044,0.850151362
CyTOF,InflMono,2578,74,0.853762607,0.940598291,0.895079301
CyTOF,Neutrophil,2817,68,0.945331913,0.992175857,0.968187602
CyTOF,NK,2558,58,0.77326036,0.925596631,0.842598509
CyTOF,Tcell,21002,48,0.893581564,0.959801565,0.925508569
SFC,Bcell,50429,37,0.964127784,0.967928172,0.96602424
SFC,CD4T,11833,52,0.922504859,0.964055462,0.942822595
SFC,CD8T,7274,47,0.888919439,0.886360521,0.887638136
SFC,DC1,1441,67,0.848022207,0.970611597,0.905185185
SFC,DC2,3057,71,0.841020608,0.918214286,0.877923852
SFC,InflMono,2587,77,0.814070352,0.943971313,0.874221669
SFC,Neutrophil,1476,75,0.790650407,0.928400955,0.854006586
SFC,NK,3300,65,0.764242424,0.865180103,0.811584875
SFC,Tcell,22911,43,0.905809437,0.944649279,0.924821747
