"","1.05","2.01","3.01","5.05","sum","group"
"LC10",19.0658174097665,0.382165605095541,0.445859872611465,0.0212314225053079,19.9150743099788,1
"LC11",5.43524416135881,0.29723991507431,0.403397027600849,0.106157112526539,6.24203821656051,1
"LC12",23.0785562632696,0.0212314225053079,0.169851380042463,0,23.2696390658174,1
"W12",0.849256900212314,0,0.191082802547771,0,1.04033970276008,0
"W4",2.01698513800425,0.127388535031847,0.764331210191083,1.46496815286624,4.37367303609342,1
"W5",0.106157112526539,0,0.0636942675159236,0,0.169851380042463,0
"LC18",1.99575371549894,0,0.488322717622081,0,2.48407643312102,0
"LC21",1.01910828025478,0,0.276008492569002,0,1.29511677282378,0
"LC27",0.0849256900212314,0,0.127388535031847,0,0.212314225053079,0
"RT07",31.2526539278132,0.106157112526539,0.169851380042463,0,31.5286624203822,1
"RT14",1.23142250530786,0.0212314225053079,0.191082802547771,0,1.44373673036093,0
"K01",0.0212314225053079,0,0,0,0.0212314225053079,0
"LC25",0.658174097664543,0.0212314225053079,0.276008492569002,0.0212314225053079,0.976645435244161,0
"LC26",0.276008492569002,0,0.106157112526539,0.0212314225053079,0.403397027600849,0
"RT15",0.89171974522293,0.0212314225053079,0.0636942675159236,0,0.976645435244161,0
"W11",0.0849256900212314,0,0.0212314225053079,0,0.106157112526539,0
"W14",0.0424628450106157,0,0.0212314225053079,0,0.0636942675159236,0
"W15",0.700636942675159,0,0.0849256900212314,0,0.785562632696391,0
"LC02",20.4246284501062,0.0636942675159236,1.18895966029724,0.106157112526539,21.7834394904459,1
"LC03",2.67515923566879,0,0.403397027600849,0.0636942675159236,3.14225053078556,0
"LC04",0.0636942675159236,0.0212314225053079,0,0,0.0849256900212314,0
"LC06",0,0,0,0,0,0
"LC08",1.6135881104034,0.148619957537155,0.0636942675159236,0.0636942675159236,1.8895966029724,0
"LC09",3.94904458598726,0.148619957537155,1.71974522292994,2.03821656050955,7.85562632696391,1
"LC22",0.318471337579618,0.0212314225053079,0.0212314225053079,0,0.360934182590234,0
"RT01",0.318471337579618,0,0,0,0.318471337579618,0
"RT10",1.46496815286624,0.0212314225053079,0,0.0212314225053079,1.50743099787686,0
"W2",0.488322717622081,0,0.106157112526539,0,0.59447983014862,0
